Unnamed: 0,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd,milestone,slope,nan,kind
458,01:02:31,74,3751,810.81,365.1238812651945,2.492812386388933,32.15643742070688,13.991269799851793,up trend,0,,HF
518,01:10:46,69,4246,869.57,310.1644339912982,4.493095695872105,62.50027406601135,18.485532291000787,up trend,0,,HF
602,01:21:52,73,4912,821.92,712.22493962931,6.035692865518642,66.66748551963096,19.636351598034512,up trend,0,,HF
638,01:26:31,68,5191,882.35,2164.963962565997,12.64204792361152,83.05353260029193,23.83368303344608,up trend,0,,HF
842,01:52:29,64,6749,937.5,4280.511511077266,6.584281136843691,72.79176430877104,36.96842571708999,up trend,0,,HF
854,01:54:06,67,6846,895.52,4001.536982552576,6.605428325543636,66.62959890441533,35.73828813437362,up trend,0,,HF
890,01:58:41,68,7121,882.35,3563.936899149158,8.527672385571261,58.56304857439143,30.305320069086815,up trend,0,,HF
962,02:06:56,85,7616,705.88,666.3435992703037,1.9423539930581957,54.97881173168961,24.680117214354677,up trend,0,,HF
1022,02:13:43,79,8023,759.49,1140.6355909997949,3.5584221055426317,53.96733377985356,39.48543428162039,up trend,0,,HF
1070,02:20:18,60,8418,1000.0,4078.32425711356,15.479846857287402,76.39428599318255,44.01798322207386,up trend,0,,HF
1082,02:21:58,61,8518,983.61,1056.4663869170313,6.44010245453344,54.24223186704589,27.573459991781373,up trend,0,,HF
1154,02:34:19,59,9259,1016.95,391.7064026697056,1.652994216750666,21.84773319769243,22.013633577065526,up trend,0,,HF
1202,02:42:40,58,9760,1034.48,87.1785524249559,1.0442540917546657,14.39957570945218,15.105951050591196,up trend,0,,HF
1238,02:48:51,59,10131,1016.95,33.336876308570126,0.3596669018549854,14.930882704198403,15.27570974335614,up trend,0,,HF
1250,02:51:06,58,10266,1034.48,38.164885330963415,0.407907802571603,12.218993084538528,15.31199876314158,up trend,0,,HF
1370,03:10:05,69,11405,869.57,1661.957387406875,17.364353309195476,125.20058974888812,27.39557449736758,up trend,0,,HF
1406,03:14:25,55,11665,1090.91,10674.970746064984,10.885128933858764,142.06959484502156,40.912345823923694,up trend,0,,HF
1454,03:20:51,58,12051,1034.48,896.5448789002342,8.672820691954973,154.68372694129454,35.75013552136436,up trend,0,,HF
1526,03:33:14,58,12794,1034.48,34.530552969532984,0.3617441656467123,16.209389236753232,13.442330413242193,up trend,0,,HF
1742,04:02:06,63,14526,952.38,319.92076548914525,1.5678180918465816,43.72773330087732,28.4078869474012,up trend,0,,HF
1754,04:03:17,56,14597,1071.43,666.9034807575594,1.2642051232090867,59.28067072832425,37.10082137822256,up trend,0,,HF
1826,04:13:43,54,15223,1111.11,132.0281723377463,2.4651013947334723,20.33922610451562,17.420714153921807,up trend,0,,HF
1850,04:17:43,55,15463,1090.91,405.6831412583783,4.909931695755795,18.82784227506413,17.936453133783367,up trend,0,,HF
1910,04:27:01,56,16021,1071.43,3599.628630911985,9.392293534156378,62.84200565298496,35.60515566886459,up trend,0,,HF
1934,04:30:16,61,16216,983.61,315.6296548496796,2.7891941272374017,62.67777916992168,33.23320149538186,up trend,0,,HF
1982,04:36:22,57,16582,1052.63,1779.1466027955478,1.813786726742777,96.90519986490482,39.709690227439246,up trend,0,,HF
2102,04:51:11,53,17471,1132.08,2106.5477517845943,3.39351860582559,68.62609758239026,43.457900434835565,up trend,0,,HF
2126,04:54:47,52,17687,1153.85,219.7444055510812,1.216097821897611,36.72958231703259,36.20537624977479,up trend,0,,HF
2198,05:04:19,57,18259,1052.63,3859.0042101834433,22.609528912153483,130.87668764270634,49.97335400194869,up trend,0,,HF
